make,model,year,fuel,hp,cylinders,transmission,drive,doors,size,style,highway_mpg,city_mpg,popularity,price
Buick,Lucerne,2010,flex-fuel (unleaded/E85),227.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,26,17,155,33230
Lincoln,Mark VIII,1997,regular unleaded,280.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,24,16,61,2209
Suzuki,XL-7,2004,regular unleaded,185.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,20,15,481,27499
HUMMER,H3T,2010,flex-fuel (unleaded/E85),300.0,8.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,16,13,130,39205
Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,36280
GMC,Acadia,2015,regular unleaded,281.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,549,38555
Volkswagen,Tiguan,2015,premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,26,21,873,31260
Mazda,Tribute Hybrid,2009,regular unleaded,177.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,31,34,586,31695
Chevrolet,TrailBlazer,2009,regular unleaded,285.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,20,14,1385,31330
Subaru,Legacy,2016,regular unleaded,256.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,20,640,29945
Pontiac,Solstice,2009,premium unleaded (recommended),260.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,210,29485
Nissan,Juke,2017,premium unleaded (recommended),188.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr Hatchback,30,26,2009,26940
Subaru,Baja,2006,regular unleaded,165.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,Crew Cab Pickup,25,19,640,23295
Nissan,300ZX,1994,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16,2009,2553
Volkswagen,Jetta,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,33,23,873,29280
Porsche,911,2015,premium unleaded (required),560.0,6.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Convertible,24,17,1715,194600
Cadillac,DTS,2011,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,23,15,1624,46680
Infiniti,G35,2008,premium unleaded (required),306.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,23,17,190,34750
Volkswagen,Passat,2015,premium unleaded (required),280.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,20,873,35995
Cadillac,CTS Wagon,2013,regular unleaded,318.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,26,18,1624,51650
BMW,X5,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,25,18,3916,54700
Volkswagen,Golf GTI,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,34,25,873,30135
Toyota,Avalon,2016,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,21,2031,35850
Scion,xD,2013,regular unleaded,128.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,33,27,105,16545
Ford,F-150,2017,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,23,17,5657,34025
Chrysler,PT Cruiser,2009,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,24,18,1013,24510
Audi,RS 5,2013,premium unleaded (required),450.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,Midsize,Coupe,23,16,3105,68900
Infiniti,G20,2001,regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,20,190,24895
Chevrolet,Silverado 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,19,14,1385,27135
Chevrolet,Silverado 1500 Classic,2007,regular unleaded,295.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,19,14,1385,30315
Ford,Transit Connect,2016,regular unleaded,169.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,20,5657,29300
Toyota,Tundra,2017,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,18,13,2031,35420
Hyundai,Genesis Coupe,2014,premium unleaded (recommended),274.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,27,17,1439,29300
Ford,Probe,1997,regular unleaded,164.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,24,18,5657,2000
Dodge,Dart,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,23,1851,23795
Nissan,Truck,1997,regular unleaded,134.0,4.0,MANUAL,four wheel drive,2.0,Compact,Extended Cab Pickup,18,15,2009,2918
Toyota,Sequoia,2015,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,17,13,2031,64320
Ford,F-250,1997,regular unleaded,220.0,8.0,MANUAL,four wheel drive,3.0,Large,Extended Cab Pickup,17,12,5657,3433
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,16,1385,65195
Bentley,Flying Spur,2015,flex-fuel (premium unleaded required/E85),616.0,12.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,20,12,520,215800
Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,four wheel drive,2.0,Midsize,2dr SUV,18,13,5657,26075
GMC,Terrain,2017,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,31,21,549,27300
Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,2dr SUV,19,14,5657,25595
Toyota,Tundra,2016,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,17,13,2031,49580
Cadillac,Catera,2000,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23,16,1624,2241
Saab,9-5,2009,premium unleaded (recommended),260.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27,17,376,38380
Hyundai,XG350,2005,regular unleaded,194.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24,16,1439,26499
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,24,18,1385,35870
Toyota,Tacoma,2015,regular unleaded,236.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,16,2031,36705
Infiniti,QX60,2015,premium unleaded (recommended),230.0,4.0,AUTOMATIC,front wheel drive,4.0,Large,4dr SUV,28,26,190,45400
Chevrolet,Malibu,2017,regular unleaded,160.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,1385,23225
Volkswagen,Routan,2010,regular unleaded,251.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,25,17,873,36600
Mazda,Tribute,2010,regular unleaded,171.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,26,20,586,27305
Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,27,21,873,27295
Cadillac,XTS,2016,regular unleaded,304.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28,18,1624,45295
Land Rover,Range Rover,2014,premium unleaded (required),510.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,19,13,258,136750
Hyundai,Excel,1992,regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,25,1439,2000
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Regular Cab Pickup,24,18,1385,28545
Chevrolet,Trax,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,33,25,1385,21000
Hyundai,Santa Fe,2016,regular unleaded,290.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,25,18,1439,30400
Volvo,XC60,2016,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,17,870,42650
Acura,CL,2002,premium unleaded (required),225.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,27,17,204,30030
Porsche,911,2017,premium unleaded (required),540.0,6.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Coupe,29,20,1715,159200
Subaru,Impreza WRX,2013,premium unleaded (required),305.0,4.0,MANUAL,all wheel drive,4.0,Compact,4dr Hatchback,23,17,640,36295
Honda,Accord,2016,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,21,2202,32745
Toyota,Tundra,2015,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,18,13,2031,33980
Ford,F-250,1997,regular unleaded,220.0,8.0,MANUAL,four wheel drive,2.0,Large,Regular Cab Pickup,17,12,5657,3008
Buick,Regal,2017,premium unleaded (recommended),259.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,29,21,155,28615
Chrysler,Aspen,2009,regular unleaded,385.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,22,20,1013,45270
Cadillac,CTS,2016,premium unleaded (required),420.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,1624,59955
Chevrolet,Cruze,2016,regular unleaded,153.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,42,30,1385,19120
Dodge,Ram Cargo,2003,regular unleaded,175.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,15,13,1851,20080
Acura,TL,2013,premium unleaded (recommended),305.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,26,18,204,45385
Plymouth,Acclaim,1993,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,29,22,535,2000
Nissan,370Z,2017,premium unleaded (required),350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18,2009,45490
Lincoln,MKZ,2017,premium unleaded (recommended),245.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,20,61,49560
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,42,30,2031,19135
Honda,HR-V,2017,regular unleaded,141.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,34,28,2202,24840
Chevrolet,Aveo,2009,regular unleaded,107.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,34,27,1385,14100
Mazda,MX-5 Miata,2016,premium unleaded (recommended),155.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,36,27,586,31270
Porsche,944,1991,regular unleaded,208.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,15,1715,3578
Dodge,Journey,2015,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,26,19,1851,26595
Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,28,23,436,23595
Buick,Park Avenue,2003,premium unleaded (required),240.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,155,39725
Bentley,Continental GT,2014,flex-fuel (premium unleaded required/E85),567.0,12.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,21,12,520,198600
GMC,Yukon,2016,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,23,16,549,57000
Mazda,CX-7,2010,premium unleaded (recommended),244.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,25,18,586,31335
Cadillac,ATS Coupe,2017,regular unleaded,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,30,20,1624,46995
Kia,Optima,2015,regular unleaded,274.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,20,1720,27700
Ford,F-150,2017,regular unleaded,325.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,26,19,5657,34165
Plymouth,Laser,1994,regular unleaded,195.0,4.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,23,18,535,2000
Dodge,Neon,2005,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,32,25,1851,13800
Chrysler,Aspen,2007,regular unleaded,235.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,17,12,1013,33810
Acura,CL,2003,premium unleaded (required),260.0,6.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,26,17,204,32700
Subaru,Impreza,2015,regular unleaded,148.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr Hatchback,37,28,640,22795
Kia,Rio,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,36,27,1720,15495
Mercedes-Benz,S-Class,2015,premium unleaded (required),449.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,26,16,617,97400
Land Rover,Range Rover Evoque,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,29,21,258,41800
Cadillac,CTS Wagon,2014,regular unleaded,318.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,26,18,1624,49795
Chevrolet,Caprice,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,1385,2000
Volkswagen,Passat,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,25,873,34270
Porsche,Panamera,2015,premium unleaded (required),570.0,8.0,AUTOMATED_MANUAL,all wheel drive,4.0,Large,Sedan,24,15,1715,180300
Audi,A5,2016,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,2.0,Midsize,Coupe,32,22,3105,40500
Suzuki,Grand Vitara,2013,regular unleaded,166.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,4dr SUV,25,19,481,22349
Buick,Enclave,2016,regular unleaded,288.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,15,155,45660
Chevrolet,Venture,2005,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Cargo Minivan,24,17,1385,23165
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,24,18,1385,38335
Subaru,Crosstrek,2017,regular unleaded,148.0,4.0,MANUAL,all wheel drive,4.0,Compact,4dr SUV,30,23,640,21695
Honda,Prelude,2001,premium unleaded (required),195.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,24,19,2202,24600
Nissan,Cube,2013,regular unleaded,122.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,31,27,2009,18860
Chevrolet,Silverado 1500,2016,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,22,16,1385,45170
Chevrolet,Avalanche,2012,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,21,15,1385,47000
Ford,F-150,2015,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,21,15,5657,35360
Toyota,RAV4,2016,regular unleaded,176.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,29,22,2031,27670
Hyundai,Elantra Coupe,2013,regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,37,27,1439,20895
Volkswagen,Golf GTI,2016,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25,873,29125
Volvo,740,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,24,18,870,2000
Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,28,23,436,22495
HUMMER,H3,2008,regular unleaded,242.0,5.0,MANUAL,four wheel drive,4.0,Midsize,4dr SUV,18,13,130,39290
Honda,Odyssey,2016,regular unleaded,248.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,28,19,2202,33500
GMC,Acadia,2017,regular unleaded,194.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,26,21,549,32450
Nissan,NX,1993,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,28,20,2009,2000
Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,26,19,61,35755
Chevrolet,Trax,2016,regular unleaded,138.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,31,24,1385,26730
Lamborghini,Aventador,2015,premium unleaded (required),700.0,12.0,AUTOMATED_MANUAL,all wheel drive,2.0,Midsize,Convertible,16,10,1158,441600
Nissan,Frontier,2015,regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,17,2009,23020
Cadillac,DTS,2010,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,23,15,1624,54425
Toyota,MR2 Spyder,2003,premium unleaded (required),138.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,29,23,2031,24645
Toyota,Avalon,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,21,2031,34140
Dodge,RAM 150,1992,regular unleaded,230.0,8.0,MANUAL,rear wheel drive,2.0,Large,Extended Cab Pickup,16,11,1851,2000
GMC,Jimmy,2001,regular unleaded,190.0,6.0,MANUAL,rear wheel drive,2.0,Compact,2dr SUV,20,14,549,19270
Dodge,Durango,2015,regular unleaded,290.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,25,18,1851,40995
Mitsubishi,Mirage G4,2017,regular unleaded,78.0,3.0,MANUAL,front wheel drive,4.0,Compact,Sedan,40,33,436,13995
Dodge,Omni,1990,regular unleaded,93.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,31,22,1851,2000
Infiniti,Q60 Coupe,2015,premium unleaded (recommended),330.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,25,17,190,47700
Hyundai,Veracruz,2012,regular unleaded,260.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,1439,30245
Hyundai,Excel,1993,regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25,1439,2000
Volkswagen,Golf,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,36,25,873,21275
Maserati,Levante,2017,premium unleaded (required),345.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,20,14,238,72000
Mitsubishi,Diamante,2002,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23,16,436,28447
Chrysler,Pacifica,2017,regular unleaded,287.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,28,18,1013,28595
Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),340.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,23,17,258,76875
Nissan,Juke,2016,premium unleaded (recommended),188.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr Hatchback,31,26,2009,22100
Chevrolet,Spark,2016,regular unleaded,98.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,41,31,1385,17285
Ford,Transit Wagon,2017,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,3.0,Large,Passenger Van,19,14,5657,40925
Dodge,Viper,2016,premium unleaded (required),645.0,10.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,21,12,1851,107995
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,1385,30320
Toyota,Sequoia,2016,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,17,13,2031,57340
Mercedes-Benz,AMG GT,2016,premium unleaded (required),503.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16,617,129900
Land Rover,Range Rover Sport,2016,premium unleaded (recommended),510.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,19,14,258,93075
Volvo,850,1995,regular unleaded,168.0,5.0,MANUAL,front wheel drive,4.0,Midsize,Wagon,26,18,870,2000
Mazda,Tribute,2009,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,26,18,586,23055
Suzuki,XL-7,2004,regular unleaded,185.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,20,15,481,25499
Kia,Sorento,2016,regular unleaded,290.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,26,18,1720,38300
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,24,873,26195
Toyota,Tacoma,2016,regular unleaded,278.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,23,18,2031,34090
Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,35975
Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000
Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,29,23,873,30995
Porsche,Boxster,2015,premium unleaded (required),315.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,20,1715,63300
Ford,F-250,1999,regular unleaded,220.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Regular Cab Pickup,17,12,5657,3550
Mercedes-Benz,B-Class Electric Drive,2015,electric,177.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,82,85,617,41450
GMC,Terrain,2017,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,31,21,549,28800
Dodge,Challenger,2017,premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,49195
Cadillac,CT6,2017,regular unleaded,335.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1624,60395
Cadillac,Escalade ESV,2016,premium unleaded (recommended),420.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,21,15,1624,94950
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30,3916,41850
Land Rover,LR4,2014,premium unleaded (required),340.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,19,14,258,59900
Cadillac,CT6,2016,regular unleaded,335.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1624,55495
Mitsubishi,Eclipse,2010,premium unleaded (recommended),265.0,6.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,24,16,436,29089
Hyundai,Sonata,2016,regular unleaded,245.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,21,1439,34075
Chrysler,Town and Country,2016,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,25,17,1013,40645
Chevrolet,Silverado 1500,2016,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,22,16,1385,46835
Audi,A8,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,36,24,3105,85200
Volvo,XC70,2015,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,24,17,870,41800
Pontiac,G8,2009,regular unleaded,256.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,17,210,28250
FIAT,500,2015,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,34,28,819,24700
Dodge,Ram Pickup 1500,2009,flex-fuel (unleaded/E85),310.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,19,14,1851,29725
Volkswagen,Cabrio,2001,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,26,20,873,20475
Toyota,Prius Prime,2017,regular unleaded,121.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,53,55,2031,28800
Mercedes-Benz,300-Class,1992,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,21,15,617,2248
Infiniti,Q60 Coupe,2014,premium unleaded (required),348.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,27,19,190,53650
Land Rover,Range Rover Evoque,2016,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,30,21,258,45675
Volkswagen,Tiguan,2015,premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,26,21,873,26255
Subaru,BRZ,2015,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,640,29490
Oldsmobile,Cutlass Supreme,1995,regular unleaded,160.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,26,17,26,2000
BMW,7 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,29,19,3916,78000
Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1439,31700
Toyota,FJ Cruiser,2013,regular unleaded,260.0,6.0,MANUAL,four wheel drive,4.0,Midsize,4dr SUV,18,15,2031,28210
Ford,Explorer Sport,2002,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,2dr SUV,20,15,5657,22265
GMC,Envoy XL,2006,regular unleaded,300.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,18,13,549,37600
Chevrolet,Sonic,2017,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,39,28,1385,19720
Land Rover,Discovery,2004,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,14,11,258,34330
BMW,M6,2017,premium unleaded (required),560.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Midsize,Coupe,20,14,3916,113700
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,37,29,2031,19195
